p,n_labeled,k,degree,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,300,4,2,supervised,poly_clime,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.23570226039551584,3.6666666666666665,1.3333333333333333,0.0,2.6666666666666665,0.9874476380941936,0.990951215666731,0.6075630187988281,3
5,300,4,2,supervised,poly_knockoff,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.23570226039551584,3.3333333333333335,1.3333333333333333,0.0,2.6666666666666665,0.9876590198622724,0.2237292576667945,0.6043278376261393,3
5,300,4,2,supervised,sparse_poly_stlsq,0.06666666666666667,0.09428090415820635,1.0,0.0,0.9333333333333332,0.09428090415820632,1.0,0.0,0.9629629629629629,0.05237828008789238,0.8333333333333334,0.23570226039551584,7.0,4.0,0.3333333333333333,0.0,0.9877137740901976,0.006636091666678112,0.27127933502197266,3
5,100,2,3,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,11.669946563999778,0.4374907811482747,3
5,100,2,3,supervised,poly_lasso,0.5111111111111111,0.1257078722109418,1.0,0.0,0.48888888888888893,0.12570787221094176,1.0,0.0,0.6476190476190476,0.1077496047522358,0.611111111111111,0.1571348402636772,8.666666666666666,2.0,2.3333333333333335,0.0,0.981092631359008,0.21442108666678905,0.2510388692220052,3
5,100,2,3,supervised,poly_omp,0.4777777777777778,0.10999438818457406,1.0,0.0,0.5222222222222223,0.10999438818457404,1.0,0.0,0.6793650793650793,0.09374490831894222,0.6666666666666666,0.1360827634879543,6.333333333333333,2.0,2.0,0.0,0.9801261667752259,0.03346628966664866,0.1912867228190104,3
5,100,2,3,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9786606416828268,0.3973582303333387,0.42818737030029297,3
5,100,2,3,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9786877641314774,0.22991047433333733,0.42518774668375653,3
5,100,2,3,supervised,sparse_poly_stlsq,0.6666666666666666,0.4714045207910317,0.16666666666666666,0.23570226039551584,0.3333333333333333,0.4714045207910317,0.16666666666666666,0.23570226039551584,0.2222222222222222,0.31426968052735443,0.4166666666666667,0.24532669073132907,5.333333333333333,0.3333333333333333,1.0,1.6666666666666667,0.33927142440998254,0.010845878000054654,0.15323638916015625,3
5,300,2,3,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.798887388333394,0.8422638575236002,3
5,300,2,3,supervised,poly_lasso,0.4444444444444444,0.07856742013183862,1.0,0.0,0.5555555555555555,0.0785674201318386,1.0,0.0,0.7111111111111111,0.06285393610547094,0.7222222222222222,0.0785674201318386,5.333333333333333,2.0,1.6666666666666667,0.0,0.9735854967918076,0.2230515276666362,0.40320714314778644,3
