p,n_labeled,k,degree,noise_std,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,200,2,2,0.5,semi_supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9677090685859553,0.24421690566665197,0.46622880299886066,3
5,200,2,2,0.5,semi_supervised,sparse_poly_stlsq,0.16666666666666666,0.23570226039551584,0.6666666666666666,0.23570226039551584,0.8333333333333334,0.23570226039551584,0.6666666666666666,0.23570226039551584,0.6666666666666666,0.0,0.7222222222222222,0.039283710065919325,6.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,-419.8699999827473,0.0004475710000140983,0.0063323974609375,3
5,200,3,2,0.5,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,10.683937806000017,0.48364512125651044,3
5,200,3,2,0.5,supervised,poly_lasso,0.5,0.08164965809277258,1.0,0.0,0.5,0.08164965809277258,1.0,0.0,0.6626984126984127,0.07295546155099292,0.5555555555555555,0.0785674201318386,11.0,2.3333333333333335,2.3333333333333335,0.0,-302.58245489356574,0.08858884266663836,0.00617218017578125,3
5,200,3,2,0.5,supervised,poly_omp,0.5333333333333333,0.09428090415820632,1.0,0.0,0.4666666666666666,0.09428090415820632,1.0,0.0,0.6309523809523809,0.08417937871268413,0.5,0.0,20.0,2.3333333333333335,2.6666666666666665,0.0,-333.7163593340079,0.0010663123333263986,0.00629425048828125,3
5,200,3,2,0.5,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.9968496360832847,0.3012924236666663,0.46982065836588544,3
5,200,3,2,0.5,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.9968826755081772,0.22316997866666574,0.4662313461303711,3
5,200,3,2,0.5,supervised,sparse_poly_stlsq,0.16666666666666666,0.23570226039551584,0.611111111111111,0.28327886186626583,0.8333333333333334,0.23570226039551584,0.611111111111111,0.28327886186626583,0.6666666666666666,0.23570226039551584,0.75,0.18002057495577392,3.0,1.3333333333333333,0.3333333333333333,1.0,-306.73792143663815,0.0004056199999998474,0.00627899169921875,3
5,200,3,2,0.5,semi_supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,11.511818714999984,0.521696408589681,3
5,200,3,2,0.5,semi_supervised,poly_lasso,0.16666666666666666,0.23570226039551584,0.8888888888888888,0.15713484026367724,0.8333333333333334,0.23570226039551584,0.8888888888888888,0.15713484026367724,0.8222222222222223,0.13698697784375505,0.8333333333333334,0.13608276348795434,5.0,2.0,0.6666666666666666,0.3333333333333333,-388.44168417031665,0.10267375499999314,0.00617218017578125,3
5,200,3,2,0.5,semi_supervised,poly_omp,0.5333333333333333,0.09428090415820632,1.0,0.0,0.4666666666666666,0.09428090415820632,1.0,0.0,0.6309523809523809,0.08417937871268413,0.5,0.0,20.0,2.3333333333333335,2.6666666666666665,0.0,-376.7300450290668,0.0010539963333258129,0.006273905436197917,3
5,200,3,2,0.5,semi_supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.9968758219400966,0.35677418266665956,0.4697558085123698,3
5,200,3,2,0.5,semi_supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.99688715984397,0.22379928600001145,0.4662656784057617,3
5,200,3,2,0.5,semi_supervised,sparse_poly_stlsq,0.2222222222222222,0.31426968052735443,0.7222222222222222,0.20786985482077452,0.7777777777777778,0.31426968052735443,0.7222222222222222,0.20786985482077452,0.7333333333333334,0.2494438257849294,0.75,0.2453266907313291,5.333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,-530.3868751508494,0.00041614300003326815,0.006304423014322917,3
5,300,2,2,0.5,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.552756614999983,0.626000722249349,3
5,300,2,2,0.5,supervised,poly_lasso,0.38888888888888884,0.07856742013183862,1.0,0.0,0.611111111111111,0.0785674201318386,1.0,0.0,0.7555555555555555,0.06285393610547094,0.7777777777777777,0.0785674201318386,5.666666666666667,2.0,1.3333333333333333,0.0,-117.51518514834186,0.0630938063333133,0.00615692138671875,3
5,300,2,2,0.5,supervised,poly_omp,0.6,0.0,1.0,0.0,0.4000000000000001,5.551115123125783e-17,1.0,0.0,0.5714285714285715,0.0,0.5,0.0,20.0,2.0,3.0,0.0,-136.52493292526347,0.001580031333332954,0.006195068359375,3
5,300,2,2,0.5,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9675879086004704,0.9924823366666639,0.6071809132893881,3
5,300,2,2,0.5,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9677143189020949,0.22664202066670214,0.6034968694051107,3
5,300,2,2,0.5,supervised,sparse_poly_stlsq,0.38888888888888884,0.2832788618662658,0.6666666666666666,0.23570226039551584,0.611111111111111,0.28327886186626583,0.6666666666666666,0.23570226039551584,0.5777777777777778,0.12570787221094176,0.611111111111111,0.14163943093313291,7.666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,-123.78401365372174,0.0006092600000139706,0.0062408447265625,3
5,300,2,2,0.5,semi_supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,10.30806723433333,0.6830190022786459,3
